Name,Phone,Address
"Agape Community Cntr",773-821-7060,"342 W 111th St, Chicago, IL 60628"
"Allen Metropolitan Christian Metho",773-568-1200,"10946 S Lowe Ave, Chicago, IL 60628"
"Antioch Baptist Church",773-785-6526,"351 W 116th St, Chicago, IL 60628"
"Bellevue Baptist Church",773-568-3200,"10700 S Emerald Ave, Chicago, IL 60628"
"Bethel Apostolic Faith Church",773-264-5367,"16 E 117th St, Chicago, IL 60628"
"Bibleway Church of Chicago",773-994-5272,"502 W 95th St, Chicago, IL 60628"
"Bread of Life Church of God and Christ",773-821-2400,"144 W 103rd St, Chicago, IL 60628"
"Brown Temple Mission",773-468-8083,"35 E 103rd St, Chicago, IL 60628"
"Chicagoland Bible Fellowship Chur",773-264-2009,"337 E 107th St, Chicago, IL 60628"
"Chicagoland Christian Center",773-785-1700,"929 E 103rd St, Chicago, IL 60628"
"Christ Cathedral Baptist Church",773-660-0580,"445 W 111th St, Chicago, IL 60628"
"Christ Community Church",773-928-4106,"743 E 103rd St, Chicago, IL 60628"
"Christ Everlasting Baptist Church",773-264-1722,"62 W 127th St, Chicago, IL 60628"
"Christ Temple Chatedral Church of Chris",773-821-0088,"62 W 111th Pl, Chicago, IL 60628"
"Christ Temple Mb Church",773-785-3522,"41 W 95th St, Chicago, IL 60628"
"Christ the Rock Full Gospel Holiness",773-660-9266,"12225 S Emerald Ave, Chicago, IL 60628"
"Christ's Church-Baptist",773-568-6114,"12844 S Halsted St, Chicago, IL 60628"
"Christian Covenant Missionary Bapt",773-785-3400,"200 W 115th St, Chicago, IL 60628"
"Christian Family Faith Center",773-785-0412,"10714 S Wentworth Ave, Chicago, IL 60628"
"Christian Fellowship Mbc The",773-468-0112,"445 W 119th St, Chicago, IL 60628"
"Christian Love Deliverance Cen",773-568-4588,"10742 S Michigan Ave, Chicago, IL 60628"
"Church of Christ",773-239-9558,"10201 S Parnell Ave, Chicago, IL 60628"
"Church of Deliverance of the Apostoli",773-468-2131,"11336 S State St, Chicago, IL 60628"
"Church of the Living Water",773-568-7729,"10701 S Vernon Ave, Chicago, IL 60628"
"Colonial Village Church of Christ",773-821-5197,"12814 S Lowe Ave, Chicago, IL 60628"
"Cornerstone Presbyterian Ch",773-785-7476,"11200 S State St, Chicago, IL 60628"
"Cottage Grove Holy Temple Mb Churc",773-468-9101,"11739 S Michigan Ave, Chicago, IL 60628"
"Crown of Life Mb Church",773-568-7664,"11500 S Front Ave, Chicago, IL 60628"
"Damascus Baptist Church",773-264-4300,"10014 S Michigan Ave, Chicago, IL 60628"
"Delivery Center Baptist Church",773-468-5085,"211 W 119th St, Chicago, IL 60628"
"Emmanuel Temple Evangelistic Ch",773-264-9607,"343 E 115th St, Chicago, IL 60628"
"Fernwood United Methodist Churc",773-445-7125,"10057 S Wallace St, Chicago, IL 60628"
"First Corinthians Baptist Church",773-568-3037,"134 E 111th St, Chicago, IL 60628"
"Followers of Christ",773-785-5592,"11022 S State St, Chicago, IL 60628"
"Full Gospel Christian Center",773-995-9655,"11920 S Michigan Ave, Chicago, IL 60628"
"Galilee Missionary Baptist Church",773-264-4806,"10957 S Michigan Ave, Chicago, IL 60628"
"Glory To Glory Family Christian Cente",773-568-0074,"12238 S Parnell Ave, Chicago, IL 60628"
"God's House of Holiness in Christ",773-445-1556,"538 W 103rd St, Chicago, IL 60628"
"Greater Canaan Missionary Bapt",773-785-2200,"35 W 119th St, Chicago, IL 60628"
"Greater Hall of Faith Church",773-779-6335,"625 W 103rd St, Chicago, IL 60628"
"Greater Mount Eagle Baptist Church",773-995-1309,"10858 S Halsted St, Chicago, IL 60628"
"Greater New Jerusalem Missionary Bapt",773-568-4581,"144 E 111th St, Chicago, IL 60628"
"Greater New Mount Eagle Baptist Church",773-995-0131,"12301 S Michigan Ave, Chicago, IL 60628"
"Greater Revelation Mb Ch",773-928-0654,"10723 S Perry Ave, Chicago, IL 60628"
"Greater Tabernacle Missionary Bapt",773-928-5350,"11240 S Indiana Ave, Chicago, IL 60628"
"Greenstone United Methodist Churc",773-785-1492,"11211 S Saint Lawrence Ave, Chicago, IL 60628"
"Grove Heights Baptist Church",773-731-8094,"9800 S Greenwood Ave, Chicago, IL 60628"
"Heaven Hands Ministries",773-264-1724,"355 E 115th St, Chicago, IL 60628"
"Holy Cross Baptist Church",773-264-0836,"630 W 120th St, Chicago, IL 60628"
"House of God",773-568-3012,"10555 S Emerald Ave, Chicago, IL 60628"
"Intl New Vision Outreach Minist",773-785-7724,"11034 S Michigan Ave, Chicago, IL 60628"
"Jehovah's Witnesses Chicago Illaltg",773-785-8604,"150 E 124th Pl, Chicago, IL 60628"
"Jesus Is the Answer F G F M B C",773-995-7401,"10801 S Edbrooke Ave, Chicago, IL 60628"
"Kids Hope United",773-734-4333,"9501 S Dorchester Ave, Chicago, IL 60628"
"Lights of Zion Mb Bible Church",773-785-2996,"11636 S Halsted St, Chicago, IL 60628"
"Lilydale First Baptist Church",773-785-8623,"649 W 113th St, Chicago, IL 60628"
"Lilydale Progressive Missionary Bapt",773-785-1976,"10706 S Michigan Ave, Chicago, IL 60628"
"Lively Stone Apostolic Church",773-291-0395,"622 W 120th St, Chicago, IL 60628"
"Logos Baptist Assembly",773-779-9673,"10833 S Halsted St, Chicago, IL 60628"
"Louise M Briley",773-821-8429,"11354 S Michigan Ave, Chicago, IL 60628"
"Love in Spirit",773-881-3747,"424 W 103rd St, Chicago, IL 60628"
"Mary Magdalene Missionary Bapt",773-468-2283,"10938 S Perry Ave, Chicago, IL 60628"
"Messiah Baptist Church",773-881-4548,"10400 S Halsted St, Chicago, IL 60628"
"Mission of Faith Baptist Church",773-821-5552,"11321 S Prairie Ave, Chicago, IL 60628"
"Mt Ebal",773-660-0703,"425 W 107th St, Chicago, IL 60628"
"My Holy Rock Missionary Baptist Church",773-785-7750,"11441 S Wentworth Ave, Chicago, IL 60628"
"New Alpha Progressive Baptist Church",773-785-2855,"11357 S King Dr, Chicago, IL 60628"
"New Birth Outreach Ministry",773-568-0796,"10747 S Halsted St, Chicago, IL 60628"
"New Christian Joy Mb Church",773-468-2129,"11594 S State St, Chicago, IL 60628"
"New Foundation Baptist Church",773-568-3920,"10632 S Wentworth Ave, Chicago, IL 60628"
"New Life",773-928-5062,"11026 S Indiana Ave, Chicago, IL 60628"
"New Life Family Worship Center",773-568-3801,"32 E 113th Pl, Chicago, IL 60628"
"New Life Full Gospel Christian Cente",773-660-4100,"12030 S Wallace St, Chicago, IL 60628"
"New Life Missionary Baptist Church",773-264-9092,"11745 S Michigan Ave, Chicago, IL 60628"
"New Macedonia Baptist Church",773-779-1055,"432 W 103rd St, Chicago, IL 60628"
"New Morning S

... [OUTPUT TRUNCATED - 1771 chars omitted out of 51771 total] ..",773-568-9769,"12257 S Emerald Ave, Chicago, IL 60628"
"Power of Praise",773-264-2767,"548 W 119th St, Chicago, IL 60628"
"Progressive Missionary Baptist Church",773-928-8889,"26 E 127th St, Chicago, IL 60628"
"Pullman Christian Reformed Church",773-785-9855,"424 E 103rd St, Chicago, IL 60628"
"Pullman Presbyterian Church",773-928-9568,"10700 S King Dr, Chicago, IL 60628"
"Reformation Lutheran Church",773-785-4570,"11310 S Forest Ave, Chicago, IL 60628"
"Refuge Bible Church",773-568-2864,"11926 S Parnell Ave, Chicago, IL 60628"
"Roseland Bible Church",773-785-3634,"233 W 111th St, Chicago, IL 60628"
"Roseland Christian Health Ministri",773-233-4100,"9718 S Halsted St, Chicago, IL 60628"
"Royal Family Ministries",773-928-6209,"145 W 111th St, Chicago, IL 60628"
"Salem Baptist Church of Chicago",773-371-2300,"11816 S Indiana Ave, Chicago, IL 60628"
"Salem Christian Academy",773-371-2323,"10909 S Cottage Grove Ave, Chicago, IL 60628"
"Sheldon Heights Church of Christ",773-568-2929,"11325 S Halsted St, Chicago, IL 60628"
"Spiral Temple of Truth",773-568-7828,"12350 S Wallace St, Chicago, IL 60628"
"St John Mb Church No 2",773-568-7589,"165 E 115th St, Chicago, IL 60628"
"St Titus One Missionary Baptist Church",773-785-5530,"10532 S Corliss Ave, Chicago, IL 60628"
"Starlight St James Mb Church",773-785-2400,"11300 S State St, Chicago, IL 60628"
"Straightway Missionary Baptist Church",773-995-8505,"10359 S King Dr, Chicago, IL 60628"
"Studio 557 A Glory To God Production",773-995-6131,"11725 S Yale Ave, Chicago, IL 60628"
"Sure-Way M B Church",773-785-0115,"12000 S Halsted St, Chicago, IL 60628"
"Synergy Counseling Center",773-994-9937,"532 W 95th St, Chicago, IL 60628"
"Trinity United Church of Christ",773-962-5650,"400 W 95th St, Chicago, IL 60628"
"True Fellowship Bapt Church",773-785-9710,"9556 S King Dr, Chicago, IL 60628"
"True Spirit International",773-264-8812,"539 W 120th St, Chicago, IL 60628"
"True Vine Holiness Mb Church",773-995-1004,"400 E 111th St, Chicago, IL 60628"
"Turner Chapel Mb Church",773-821-9509,"10800 S Wentworth Ave, Chicago, IL 60628"
"Unite Four Christ Cm",773-785-9111,"17 E 115th St, Chicago, IL 60628"
"United Bibleway Community M B C",773-568-6390,"252 E 115th St, Chicago, IL 60628"
"United Church St James",773-785-6095,"10818 S Michigan Ave, Chicago, IL 60628"
"Upon This Rock Christian Cente",773-785-2089,"11652 S Wentworth Ave, Chicago, IL 60628"
"Victory Outreach Christian Home",773-568-1785,"11730 S State St, Chicago, IL 60628"
"West Pullman Baptist Church",773-568-7549,"656 W 118th St, Chicago, IL 60628"
"Women of Destiny",773-468-2848,"535 W 111th St, Chicago, IL 60628"
